,Unnamed: 0,profile,item,rating
0,0,32,0,1
1,1,32,4,1
2,2,32,10,1
3,3,32,6,2
4,4,32,2,2
5,5,234,6,3
6,6,234,10,1
7,7,234,2,3
8,8,547,10,1
9,9,626,1,3
10,10,626,2,4
11,11,626,6,3
12,12,626,8,2
13,13,626,10,1
14,14,626,5,2
15,15,162,6,2
16,16,162,10,1
17,17,162,2,2
18,18,248,6,1
19,19,248,2,1
20,20,121,6,2
21,21,121,10,1
22,22,121,2,2
23,23,252,3,1
24,24,252,6,2
25,25,252,1,2
26,26,252,8,1
27,27,252,2,2
28,28,574,9,2
29,29,574,6,3
30,30,574,1,2
31,31,574,10,2
32,32,574,2,3
33,33,135,9,3
34,34,135,6,2
35,35,135,2,2
36,36,597,9,2
37,37,597,6,2
38,38,597,2,2
39,39,332,1,3
40,40,332,2,3
41,41,332,3,2
42,42,332,6,3
43,43,332,7,1
44,44,332,8,3
45,45,332,9,4
46,46,332,10,1
47,47,332,11,3
48,48,428,10,1
49,49,428,6,1
50,50,428,1,1
51,51,428,2,2
52,52,190,0,1
53,53,190,6,2
54,54,190,10,1
55,55,190,2,2
56,56,576,9,2
57,57,576,6,3
58,58,576,10,2
59,59,576,11,3
60,60,576,2,3
61,61,488,9,2
62,62,488,6,1
63,63,488,2,1
64,64,306,6,3
65,65,306,10,3
66,66,306,2,3
67,67,374,6,2
68,68,374,2,2
69,69,457,6,3
70,70,457,10,2
71,71,457,2,3
72,72,478,9,3
73,73,478,6,3
74,74,478,2,3
75,75,0,6,2
76,76,0,10,1
77,77,0,2,3
78,78,2,9,2
79,79,2,6,2
80,80,2,10,2
81,81,2,2,2
82,82,142,9,2
83,83,142,6,3
84,84,142,2,3
85,85,86,6,3
86,86,86,2,3
87,87,226,6,1
88,88,226,2,1
89,89,384,9,2
90,90,384,6,3
91,91,384,10,1
92,92,384,2,3
93,93,28,9,2
94,94,28,6,3
95,95,28,10,2
96,96,28,2,3
97,97,518,9,3
98,98,518,6,4
99,99,518,2,4
100,100,101,0,1
101,101,101,1,2
102,102,101,2,3
103,103,101,6,2
104,104,101,8,2
105,105,101,9,1
106,106,566,6,1
107,107,566,2,1
108,108,418,6,3
109,109,418,10,2
110,110,418,2,3
111,111,620,9,4
112,112,620,6,3
113,113,620,11,3
114,114,620,2,3
115,115,453,6,3
116,116,453,2,4
